年,月日,データ種別,事柄,終了年,終了月日,地域,詳細レベル,区分,関連国,補足,キーワード,,,,
-1200,,5,海の民、ギリシアに侵攻。エーゲ文明衰える。,-1200,,欧米,1,,ギリシア,,古代ギリシャ,,,,
-1200,,5,ヒッタイト、海の民の侵入によってこの頃滅亡。,-1200,,アジア,1,,中東,,,,,,
-1200,,5,北米大陸、メキシコ湾岸にオルメカ文明成立。,-1200,,欧米,1,,南米,,,,,,
-1200,,5,ギリシアの暗黒時代　→　鉄器の使用広がる。,-800,,欧米,1,,ギリシア,,古代ギリシャ,,,,
-1200,,5,ペリシテ人、パレスチナに入る。　→　カナーン人,-1200,,アジア,1,,中東:印,,,,,,
-1155,,5,イランのエラム人、カッシート王国を滅ぼす。,-1155,,アジア,1,,中東,,,,,,
-1100,,5,この頃までにドーリア人がギリシアに南下し定住。,-1100,,欧米,1,,ギリシア,,古代ギリシャ,,,,
-1100,,5,この頃、フェニキア人、アルファベットを実用化する。,-1100,,アジア,1,,ギリシア:中東,,古代ギリシャ,,,,
-1069,,5,海の民の侵入によりエジプト新王国滅びる。　→　エジプト末期王朝,-1069,,欧米,1,,エジプト,,,,,,
-1024,,5,周、殷を倒す。易姓革命　都鎬京　→　封建制を採る。,-1024,,アジア,1,,中国,,,,,,
-1003,,5,ヘブライ王国、ダヴィデ王が即位。,-1003,,アジア,1,,中東,,,,,,
-1000,,5,アーリア人、ガンジス川流域に進出。,-1000,,アジア,1,,中東:印,,,,,,
-1000,,5,南米大陸アンデス山地にチャビン文化興る。アンデス文明の始まり。,-1000,,欧米,1,,南米,,,,,,
-1000,,1,弥生時代,250,,日本,1,,日本,,,,,,
-997,,5,ヘブライ王国、都イェルサレムを建設。,-997,,アジア,1,,中東,,,,,,
-960,,5,ヘブライ王国、ソロモン王が王位を継承し栄華を極めたという。,-960,,アジア,1,,中東,,,,,,
-922,,5,この頃、ヘブライ王国、イスラエル王国とユダ王国が分かれる。,-922,,アジア,1,,中東,,,,,,
-900,,5,メソポタミア北部でアッシリアが有力になる。戦車を使用。,-900,,アジア,1,,中東,,,,,,
-814,,5,フェニキア人の都市国家ティルスがカルタゴを建設,-814,,アジア,1,,ギリシア:中東,,古代ギリシャ,,,,
-800,,5,インドでヴァルナ制が成立。→カースト制度。,-800,,アジア,1,,印,,,,,,
-800,,5,インドでバラモン教が深化。,-800,,アジア,1,,印,,,,,,
-800,,5,ギリシアでポリスの形成進む。シノイキスモス進む。,-800,,欧米,1,,ギリシア,,古代ギリシャ,,,,
-800,,5,イオニア人が都市国家アテネを建設。,-800,,欧米,1,,ギリシア,,,,,,
-800,,5,ホメロスの『イリアス』・『オデュッセイア』が成立。,-800,,欧米,1,,ギリシャ,,,,,,
-776,,5,最初の古代オリンピック開催。,-776,,欧米,1,,ギリシャ,,,,,,
-770,,5,この頃、周の東遷。洛邑に遷都（これ以降を東周）。春秋時代が始まる。,-770,,アジア,1,,中国,,,,,,
-753,4月21日,5,ロムルスによるローマの建国（伝承）。　→　イタリア人・ラテン人,-753,,欧米,1,,ローマ,,,,,,
-733,,5,シチリア島にギリシア人殖民市シラクサ建設。,-733,,欧米,1,,ギリシア,,古代ギリシャ,,,,
-732,,5,アッシリア帝国、ティグラト＝ピラセル３世、シリア・パレスティナに進出。,-732,,アジア,1,,中東,,メソポタミア,,,,
-729,,5,アッシリア帝国、バビロンを征服し、メソポタミアを統一。,-729,,アジア,1,,中東,,メソポタミア,,,,
-722,,5,『春秋』 の記述、この年から始まる。～前481,-481,,アジア,1,2,中国,,,,,,
-722,,5,イスラエル王国、アッシリアに滅ぼされる。,-722,,アジア,1,,中東,,メソポタミア,,,,
-700,,5,この頃、ヘシオドス、『労働と日々』などを著作。,-700,,欧米,1,2,ギリシア,,,,,,
-700,,5,この頃、ギリシア人、植民活動盛んに行い、アルファベットの使用広がる。,-700,,欧米,1,,ギリシア,,,,,,
-700,,5,スパルタでリュクルゴスの制が形成され軍国主義がとられる。,-600,,欧米,1,,ギリシア,,,,,,
-700,,5,コーサラ国・マガダ国などが北インドに起こる。,-601,,アジア,1,,印,,,,,,
-683,,5,アテネでアルコンの任期が一年となり貴族政（共和政）となる。,-683,,欧米,1,,ギリシア,,,,,,
-679,,5,斉の桓公、尊王攘夷を唱え、覇者となる。　→　春秋の五覇,-679,,アジア,1,,中国,,,,,,
-668,,5,アッシリア帝国のアッシュール＝バニパル王が即位。都ニネヴェ。,-668,,アジア,1,,中東,,メソポタミア,,,,
-668,,5,ギリシア人、植民都市ビザンティオンを建設。,-668,,欧米,1,,ギリシア,,,,,,
-663,,5,アッシリア帝国がエジプトを征服。オリエントを統一。世界帝国の出現。,-663,,欧米,1,,エジプト,,,,,,
-659,,5,秦の穆公、西方に勢力を伸ばす。,-659,,アジア,1,,中国,,,,,,
-637,,5,宋の襄王、覇を唱えるも楚と戦って敗れる。,-637,,アジア,1,,中国,,,,,,
-632,,5,晋の文公、覇者となる。,-632,,アジア,1,,中国,,,,,,
-632,,5,アテネのキュロン、僭主となろうとして失敗。,-632,,欧米,1,,ギリシア,,,,,,
-621,,5,アテネでドラコンの立法。,-621,,欧米,1,,ギリシア,,,,,,
-616,,5,ローマでエトルリア人による王政が行われる。,-616,,欧米,1,,ローマ,,,,,,
-612,,5,アッシリア帝国滅亡。四国分立時代へ。,-612,,アジア,1,,中東,,メソポタミア,,,,
-612,,5,メソポタミアに新バビロニア王国（都バビロン）,-612,,アジア,1,,中東,,メソポタミア,,,,
-612,,5,イラン高原にメディア王国（都エクバタナ）,-612,,アジア,1,,中東,,メソポタミア,,,,
-612,,5,小アジアにリディア王国（都サルデス） エジプトはエジプト末期王朝。,-612,,欧米,1,,エジプト,,,,,,
-604,,5,新バビロニア王国、ネブカドネザル２世が即位。,-604,,アジア,1,,中東,,メソポタミア,,,,
-600,,5,中国で諸子百家が盛んに活動。,-300,,アジア,1,,中国,,,,,,
-597,,5,楚の荘王、中原に進出。,-597,,アジア,1,,中国,,,,,,
-594,,5,アテネでソロンの改革。財産政治,-594,,欧米,1,,ギリシア,,,,,,
-586,,5,ユダ王国、新バビロニアに滅ぼされる。,-586,,アジア,1,,中東,,バビロン,,,,
-586,,5,バビロン捕囚。ユダヤ教が成立。,-586,,アジア,1,,中東,,バビロン,,,,
-585,,5,イオニア自然哲学が栄える。,-585,,欧米,1,2,ギリシア,,,,,,
-585,5月28日,5,ミレトスのタレース、日蝕を予測。,-585,,欧米,1,2,ギリシア,,,,,,
-563,,5,この頃ガウタマ＝シッダールタ(463～363bc説も有力)、仏教を興す。,-483,,アジア,1,,印,,宗教,,,,
-559,,5,イラン人のアケメネス朝ペルシア、キュロス２世が即位。,-559,,アジア,1,,中東,,アケメネス朝ペルシア,,,,
-552,,5,孔子、魯で生まれる（～前479年）。,-479,,アジア,1,2,中国,,,,,,
-550,,5,キュロス２世がメディア王国を滅ぼす。,-550,,アジア,1,,中東,,アケメネス朝ペルシア,,,,
-549,,5, ヴァルダマーナがジャイナ教を興す。,-477,,アジア,1,,印,,,,,,
-549,,5, アテネでペイシストラトス、僭主政を行う。～528bc,-528,,欧米,1,,ギリシア,,,,,,
-547,,5,アケメネス朝、リディア王国を滅ぼす。,-547,,アジア,1,,中東,,アケメネス,,,,
-540,,5,ナイル上流のクシュ王国、都をメロエに移す。,-540,,欧米,1,,エジプト,,,,,,
-538,,5,アケメネス朝、新バビロニアを滅ぼす。キュロス２世、ユダヤ人をバビロン捕囚から解放。,-538,,アジア,1,,中東,,アケメネス,,,,
-525,,5,アケメネス朝ペルシア、エジプトを征服。オリエントを統一。,-525,,アジア,1,,エジプト:中東,,アケメネス朝ペルシア,,,,
-522,,5,アケメネス朝、ダレイオス１世が即位。全盛期となり、都ペルセポリス・スサを造営。,-522,,アジア,1,,中東,,アケメネス,,,,
-522,,5,アケメネス朝、ゾロアスター教を保護する。,-522,,アジア,1,,中東,,アケメネス,,,,
-509,,5,ローマでエトルリア人の王を追放、貴族共和政となる。,-509,,欧米,1,,ローマ,,,,,,
-509,,5,ローマで執政官（コンスル）が置かれる。,-509,,欧米,1,,ローマ,,,,,,
-508,,5,アテネでクレイステネスの改革。五百人評議会設置。オストラシズムの制度始まる。,-508,,欧米,1,,ギリシア,,,,,,
-500,,5,ミレトスなどでイオニアの反乱起き、ペルシア戦争始まる。,-500,,アジア,1,,ペルシア:中東,,アケメネス朝ペルシア,,,,
-500,,5,インドでマガダ国が有力となる。都パータリプトラ,-500,,アジア,1,,印,,ガンジス,,,,
-500,,5,インドでこの頃までにウパニシャッド哲学がまとめられる。,-500,,アジア,1,2,印,,,,,,
-500,,5,枢軸時代といわれる（ヤスパースの提唱）,-500,,欧米,1,,,,,,,,
-500,,5,前5世紀ベトナム北部でドンソン文化が栄える。銅鼓。,-500,,アジア,1,,ベトナム,,,,,,
-500,,5,前5世紀ベトナム中南部ではサーフィン文化が栄える。,-500,,アジア,1,,ベトナム,,,,,,
-494,,5,呉王夫差、越王勾践を破る。,-494,,アジア,1,,中国,,,,,,
-494,,5,ローマで聖山事件が起こる。平民会と護民官を設置。,-494,,欧米,1,,ローマ,,,,,,
-492,,5,ペルシア帝国のダレイオス１世、ギリシア侵攻。第１回ペルシア戦争。,-492,,アジア,1,,ギリシア:ペルシア:中東,,アケメネス朝ペルシア,,,,
-490,,5,第２回ペルシア戦争。マラトンの戦いでペルシア軍敗れる。,-490,,アジア,1,,ギリシア:ペルシア:中東,,アケメネス朝ペルシア,,,,
-490,,5,前5世紀末頃、マケドニア、都ペラを建設。,-490,,欧米,1,,ギリシア,,,,,,
-480,,5,中国の魯国に墨子が生まれる。,-480,,アジア,1,2,中国,,,,,,
-480,,5,ペルシア帝国のクセルクセス１世、ギリシア侵攻。第３回ペルシア戦争。,-480,,アジア,1,,ギリシア:ペルシア:中東,,アケメネス朝ペルシア,,,,
-480,,5,８月テルモピュライの戦いでスパルタ軍全滅。レオニダス戦死。,-480,,欧米,1,,ギリシア,,,,,,
-480,,5,９月サラミスの海戦で三段櫂船主力のアテネ海軍が勝利。テミストクレスの活躍。,-480,,欧米,1,,ギリシア,,,,,,
