年,月日,データ種別,事柄,終了年,終了月日,地域,詳細レベル,区分,関連国,補足,キーワード,,,,
1185,,5,壇ノ浦で平家滅亡,1185,,日本,1,,日本,,,,,,
1185,,5,源頼朝、諸国に守護・地頭の設置と兵糧米の徴収を朝廷に認めさせる（文治勅許）,1185,,日本,1,,日本,,,,,,
1187,7月,5,サラーフ・アッディーン、ヒッティーンの戦いで十字軍を破る。,1187,,欧米,2,,ローマ:伊:仏:独:蘭:西:洪:中東,,十字軍,,,,
1187,,5,第２次ブルガリア帝国成立。,1187,,欧米,1,,勃,,,,,,
1189,,5,金の首都燕京の郊外に盧溝橋を架橋。,1189,,アジア,1,,中国,,,,,,
1189,,10,第３回十字軍。リチャード１世、フリードリヒ１世、フィリップ２世が参加。,1189,,欧米,1,,ローマ:伊:仏:独:蘭:西:洪:中東,,十字軍,,,,
1191,,5,栄西、南宋から帰国、臨済宗を伝える,1191,,日本,1,2,日本,,宗教,,,,
1192,9月,5,リチャード１世とサラーフ・アッディーンの講和成立。,1192,,欧米,1,,ローマ:伊:仏:独:蘭:西:洪:中東,,十字軍,,,,
1192,7月12日,5,源頼朝、征夷大将軍となる。,1192,,日本,1,,日本,,,,,,
1194,,5,シュタウフェン家がシチリア王となる。,1194,,アジア,1,,中東,,,,,,
1195,,,アラルコスの戦い：ムワッヒド朝カリフがカスティーリャ王アルフォンソ8世に大勝,1195,,欧米,1,,西:葡:中東,,レコンキスタ:国土回復運動,,,,
1198,,5,法然、「撰択本願念仏集」,1198,,日本,1,2,日本,,宗教,,,,
1200,,5,パリ大学創設される。,1200,,欧米,1,2,仏,,,,,,
1200,,5,この頃インカ帝国が成立。,1200,,欧米,1,,南米,,,,,,
1202,,5,インノケンティウス３世、第４回十字軍を提唱。,1202,,欧米,1,,ローマ:伊:仏:独:蘭:西:洪:中東,,十字軍,,,,
1203,,5,ゴール朝、ベンガルのパーラ朝を滅ぼす。インドの仏教衰退。,1203,,アジア,1,,印:中東,,宗教,,,,
1203,,5,運慶・快慶による東大寺南大門金剛力士像完成,1203,,日本,1,2,日本,,宗教:美術,,,,
1204,,5,モンゴル統一される。,1204,,アジア,1,,モンゴル,,,,,,
1204,4月13日,10,第４回十字軍、コンスタンティノープルを占領しラテン帝国を建てる。,1204,,欧米,1,,ローマ:伊:仏:独:蘭:西:洪:中東,,十字軍,,,,
1206,,5,クリルタイでチンギス＝ハン、ハンに即位。モンゴル帝国。,1206,,アジア,1,,モンゴル,,,,,,
1206,,5,アイバク、奴隷王朝を建る。デリー＝スルタン朝が始まる。,1206,,アジア,1,,中国,,,,,,
1209,,5,西遼（カラ＝キタイ）、ホラズムに圧迫され、東方に移動。,1209,,アジア,1,,中国,,,,,,
1209,,5,インノケンティウス３世、イギリス王ジョンを破門。,1209,,欧米,2,,英,,,,,,
1209,6月,5,フランス王フィリップ２世、アルビジョワ十字軍を派遣。,1209,,欧米,1,,仏:中東,,十字軍,,,,
1209,,5,オクスフォード大学からケンブリッジ大学が分離。,1209,,欧米,1,2,,,,,,,
1211,,5,西遼（カラ＝キタイ）、ナイマンに滅ぼされる。,1211,,アジア,1,,中国,,,,,,
1212,7月,5,ムワッヒド朝軍、ナバス・デ・トロサの戦いでキリスト教軍に敗れる。,1212,,アジア,2,,西:中東:アフリカ,,レコンキスタ:国土回復運動,,,,
1212,,10,少年十字軍派遣される。,1212,,欧米,1,,ローマ:伊:仏:独:蘭:西:洪:中東,,十字軍,,,,
1212,,5,『方丈記』:鴨長明,1212,,日本,1,2,日本,,,,,,
1214,,5,ブーヴィーヌの戦い。イギリス王ジョンが、フランス王フィリップ２世に敗れる。,1214,,欧米,1,,仏:英,,,,,,
1214,,5,『新古今和歌集』(1201後鳥羽院の勅命に始まり、1210頃に完成と考えられる,1214,,日本,1,2,日本,,,,,,
1215,,5,イギリスの議会、大憲章（マグナ・カルタ）をジョン王に認めさせる。　→　イギリス議会制度,1215,,欧米,1,,英,,,,,,
1215,11月30日,5,インノケンティウス３世、第４回ラテラノ公会議を招集。ユダヤ教徒らへの差別バッジを制定。,1215,,欧米,2,,,,,,,,
1216,,5,ドミニコ会修道会、認可される。,1216,,欧米,1,,,,,,,,
1218,,5,チンギス＝ハン、ナイマンを滅ぼす。,1218,,アジア,1,,モンゴル,,,,,,
1219,,5,北条政子、尼将軍となる,1219,,日本,1,,日本,,,,,,
1220,2月3日,5,チンギス＝ハン、ブハラとサマルカンドを破壊。,1220,,アジア,1,,モンゴル,,,,,,
1220,,5,ホラズム、マー・ワラー・アンナフルを失う。,1220,,欧米,2,,,,,,,,
1220,,5,フリードリヒ２世神聖ローマ皇帝即位。ドイツ王、シチリア王を兼ね、パレルモで統治。,1220,,欧米,1,,神聖ローマ帝国:独,,,,,,
1221,,5,承久の乱:後鳥羽上皇が鎌倉幕府に対して兵を挙げた,1221,,日本,1,,日本,戦後処理として、後鳥羽上皇は隠岐島、順徳上皇は佐渡島にそれぞれ配流された,,,,,
1223,,5,フランチェスコが創設した托鉢修道会であるフランチェスコ会が正式に認可される。,1223,,欧米,1,,,,,,,,
1224,,5,親鸞、浄土真宗を伝える,1224,,日本,1,2,日本,,宗教,,,,
1225,,5,ベトナムに陳朝が成立。,1225,,アジア,1,,ベトナム,,,,,,
1227,,5,チンギス＝ハン、西夏を滅ぼす。,1227,,アジア,1,,モンゴル,,,,,,
1227,8月18日,5,チンギス＝ハン死去する。,1227,,アジア,1,,モンゴル,,,,,,
1227,,5,道元、曹洞宗を伝える,1227,,日本,1,2,日本,,宗教,,,,
1228,,10,第５回十字軍派遣。「フリードリヒ十字軍」,1228,,欧米,1,,ローマ:伊:仏:独:蘭:西:洪:中東,,十字軍,,,,
1229,,5,フランス王ルイ９世、南仏のアルビジョワ派を制圧。,1229,,欧米,1,,仏,,,,,,
1230,,5,フェルナンド3世の時代にカスティーリャ王国とレオン王国は王位を再統合,1230,,欧米,1,,西,,レコンキスタ:国土回復運動,,,,
1230,,5,『平家物語』作者、作成年不明 1240以前に完成？,1230,,日本,1,2,日本,,,,,,
1232,,5,モンゴル軍、高麗に侵攻。,1232,,アジア,1,,モンゴル,,,,,,
1232,,5,北条泰時、御成敗式目（貞永式目）を制定 ,1232,,日本,1,,日本,,,,,,
1234,1月,5,モンゴル軍の攻撃により金が滅亡。,1234,,アジア,1,,モンゴル,,,,,,
1235,,5,藤原定家、私撰和歌集（小倉百人一首）を著す,1235,,日本,1,2,日本,,,,,,
1236,,5,モンゴル帝国のバトゥ、ヨーロッパ遠征開始。,1236,,アジア,1,,モンゴル,,,,,,
1240,,5,この頃、タイ人、自立しスコータイ朝を建てる。,1240,,アジア,1,,中国,,,,,,
1240,,5,バトゥの率いるモンゴル軍、キエフを占領。,1240,,欧米,2,,露:ウクライナ,,,,,,
1240,,5,キエフ公国滅亡しロシアの「タタールのくびき」始まる。,1240,,欧米,1,,露:ウクライナ,,,,,,
1240,7月,5,ロシアのアレクサンドル・ネフスキー、ネヴァ河の戦いでスウェーデン軍を破る。,1240,,欧米,2,,露,,,,,,
1241,,5,大モンゴル国のバトゥ、ハンガリー王国軍を破る。（ムヒの戦い）,1241,,アジア,1,,モンゴル,,,,,,
1241,4月,5,ワールシュタットの戦い。モンゴル軍がポーランド・ドイツの連合軍を破る。,1241,,欧米,1,,独:波,,,,,,
1242,4月5日,5,ロシアのアレクサンドル・ネフスキー、ドイツ騎士団を氷上の戦いで撃退。,1242,,欧米,1,,露:独,,,,,,
1243,,5,バトゥ、南ロシアにキプチャク・ハン国を建てる。,1243,,欧米,1,,露,,,,,,
1246,6月,5,プラノ＝カルピニ、モンゴルの都カラコルムに至る。,1246,,アジア,1,,モンゴル,,,,,,
1248,,5,ケルン大聖堂の建造始まる。,1248,,欧米,1,2,独,,宗教:美術,,,,
1248,,5,フランス国王ルイ９世が主唱し第６回十字軍派遣。,1248,,欧米,1,,仏,,,,,,
1248,,5,カスティーリャ王国がセビリア攻略。（イベリア半島のイスラム国はグラナダ王国のみ）,1248,,欧米,1,,仏,1236年にコルドバ攻略済、,レコンキスタ:国土回復運動,,,,
1250,5月,5,バイバルスがアイユーブ朝を倒し、マムルーク朝を樹立。,1250,,アジア,1,,中東,,,,,,
1251,9月,5,高麗で高麗版大蔵経が再刊される。,1251,,アジア,1,,中国,,,,,,
1253,,5,フビライが大理国を征服。,1253,,アジア,1,,モンゴル,,,,,,
1254,,5,フランスのルブルック、モンゴル帝国のモンケ＝ハンに面会。,1254,,アジア,2,,モンゴル:仏,,,,,,
1254,,5,神聖ローマ皇帝、シュタウフェン朝が断絶。（大空位時代～1273年）,1254,,欧米,1,,神聖ローマ帝国:独,,,,,,
1258,2月,5,モンゴルのフラグ軍がバグダードを破壊。アッバース朝の滅亡。,1258,,アジア,1,,中東,,,,,,
1260,9月3日,5,アインジャールートの戦いでマムルーク朝のバイバルスモンゴル軍を破る。,1260,,アジア,1,,中東,,,,,,
1260,,20,<中東>フラグ、イル・ハン国を建国。,1260,,アジア,1,,中東,,,,,,
1261,8月15日,5,ラテン帝国滅亡。コンスタンティノープルにビザンツ帝国復活。,1261,,欧米,1,,ビザンツ帝国:東ローマ帝国,,,,,,
1264,7月,5,フビライ、カラコルムのアリクブケを破る。,1264,,アジア,1,,モンゴル:中国,,,,,,
1264,,5,中都（後の大都、現在の北京）を都とすることを宣言。,1264,,アジア,1,,中国,,,,,,
1264,,5,イギリスでシモン・ド・モンフォール、反乱を起こす。,1264,,欧米,1,,英,,,,,,
1265,,5,イギリスでモンフォール議会が開催される。議会制度始まる。,1265,,欧米,1,,英,,,,,,
1267,,5,フビライ、中都（後の大都、現在の北京）に遷都。,1267,,アジア,1,,モンゴル:中国,,,,,,
1269,8月,5,ムワッヒド朝、滅亡する。,1269,,欧米,1,,アフリカ:葡,,,,,,
1270,6月,5,高麗で三別抄の乱起こる。,1270,,アジア,1,,中国,,,,,,
1270,,10,フランス王ルイ９世、第７回十字軍。（十字軍の最後）,1270,,欧米,1,,仏,,,,,,
1271,11,5,フビライ、国号を元に改める。,1271,,アジア,1,,モンゴル:中国,,,,,,
1272,,5,フビライ、首都を大都（現在の北京）と改称。,1272,,アジア,2,,モンゴル:中国,,,,,,
1273,4月,5,三別抄の乱鎮圧される。,1273,,アジア,1,,中国,,,,,,
1273,10,5,ハプスブルク家のルドルフ、皇帝となり大空位時代が終わる。,1273,,欧米,1,,神聖ローマ帝国:独,,,,,,
1274,10月20日,20,文永の役：フビライ第１回目の日本遠征,1274,,日本,1,,日本,,,,,,
1275,,5,マルコ＝ポーロ、元の都大都に入る。,1275,,アジア,1,,中国,,,,,,
1276,1月,5,フビライ、臨安を攻略、南宋を滅ぼす。,1276,,アジア,1,,モンゴル:中国,,,,,,
1278,8月26日,5,ベーメン王国のオタカル２世、神聖ローマ帝国皇帝ハプスブルク家のルードルフと戦い敗れる。,1278,,欧米,1,,神聖ローマ帝国:独,,,,,,
1279,2月,5,厓山の戦いで南宋、完全に滅亡。,1279,,アジア,1,,中国,,,,,,
1281,,5,フビライ、チャンパー遠征に失敗。,1281,,アジア,1,,モンゴル:中国,,,,,,
1281,5月21日,20,弘安の役：フビライ第２回目の日本遠征,1281,,日本,1,,日本,,,,,,
1282,,5,エドワード１世がウェールズを征服。,1282,,欧米,2,,英,,,,,,
1282,3月30日,5,シチリアの晩祷事件おこる。,1282,,アジア,1,,中東,,,,,,
1284,,5,元軍のベトナムへの遠征。チャンパーが撃退。,1284,,アジア,1,,中国:ベトナム,,,,,,
1285,,5,フラグのモンゴル軍、バグダードを攻略し、アッバース朝を滅ぼす。,1285,,アジア,1,,中東,,,,,,
1287,,5,元軍のベトナムへの遠征。陳朝が一時撃退。,1287,,アジア,1,,中国:ベトナム,,,,,,
1287,,5,元軍のビルマ遠征。パガン朝、滅亡に向かう。,1287,,アジア,1,,中国:ミャンマー,,,,,,
1290,,5,デリーにハルジー朝が成立。,1290,,アジア,1,,印,,,,,,
1291,3月,5,アッコンをマムルーク朝軍に陥落されるエルサレム王国消滅。,1291,,欧米,1,,ローマ:伊:仏:独:蘭:西:洪:中東,,十字軍,,,,
1291,3月,5,マムルーク朝軍、十字軍の最後の拠点アッコンを陥落。エルサレム王国消滅。,1291,,アジア,1,,中東,,十字軍,,,,
1291,,5,ヨハネ騎士団、本拠をロードス島に移す。,1291,,欧米,2,,,,,,,,
1291,8月1日,5,スイス三邦の盟約者同盟団（リュトリの誓い）,1291,,欧米,2,,瑞,,,,,,
1292,2月,5,元のフビライの遠征活動、ジャワ島に及ぶ。,1292,,アジア,1,,モンゴル:中国,,,,,,
1294,,5,モンテ＝コルヴィノ、元の大都で布教を開始。,1294,,アジア,1,,中国,,,,,,
1295,,5,エドワード１世、模範議会を召集。,1295,,欧米,2,,英,,,,,,
1295,,5,イル・ハン国のガザン・ハン、イスラーム教に改宗。,1295,,アジア,1,,中東,,,,,,
1299,,20,<トルコ>オスマン・ベイがオスマン帝国を建国。,1299,,アジア,1,,土:オスマン帝国,,,,,,
1300,,5,ダンテ、『神曲』の執筆を始める。,1300,,欧米,1,2,伊,,ルネサンス,,,,
1301,1月,5,モンゴル帝国：ハイドゥの乱でハイドゥが戦死。,1301,,アジア,1,,モンゴル:中国,,,,,,
1302,,5,フランス王フィリップ４世、三部会を召集。,1302,,欧米,1,,仏,,,,,,
1303,,5,アナーニ事件。教皇ボニファティウス８世はフランス王フィリップ４世に幽閉され憤死。,1303,,欧米,1,,仏,,,,,,
1305,,5,モンゴル帝国：ハイドゥの乱が終結。,1305,,アジア,1,,モンゴル:中国,,,,,,
1309,,5,教皇クレメンス５世がアヴィニヨンに移される。「教皇のバビロン捕囚」,1309,,欧米,1,,,,,,,,
1312,,10,テンプル騎士団、フィリップ４世によって解散させられる。,1312,,欧米,1,,仏,,,,,,
1315,,5,スイス原初3州、モルガルテンの戦いでオーストリア軍に勝利,1315,,欧米,1,,瑞,,,,,,
1320,,5,デリーにトゥグルク朝が成立。,1320,,アジア,1,,印,,,,,,
1321,,5,ダンテ、『神曲』を完成させ、死去,1321,,欧米,1,2,伊,,ルネサンス,,,,
1324,,5,【正中の変】後醍醐天皇による鎌倉幕府統幕計画事前に発覚し、首謀者処分される,1324,,日本,1,,日本,,,,,,
1325,6月,5,イブン・バットゥータ、モロッコを出発し、大旅行を開始。～1354/1,1325,,アジア,1,2,中東,,,,,,
1328,,1,仏：ヴァロワ朝,1589,,欧米,1,,仏,,,,,,
1328,,10,フランスでカペー朝が断絶、ヴァロワ朝が成立。,1328,,欧米,1,,仏,,,,,,
1331,,5,セルビア王国、ステファン・ドゥシャン王が即位、全盛期となる。,1331,,欧米,1,,セルビア,,,,,,
1331,,5,吉田兼好、随筆「徒然草」,1331,,日本,1,2,日本,,,,,,
1331,,5,【元弘の変】後醍醐天皇による鎌倉幕府倒幕挙兵,1331,,日本,1,,日本,,,,,,
1333,,1,建武の新政,1336,,日本,1,,日本,,,,,,
1333,9月,5,イブン・バットゥータ、トゥグルク朝のインドを訪れる。～1342,1333,,アジア,1,2,中東,,,,,,
1333,5月21日,20,鎌倉幕府が滅亡。,1333,,日本,1,,日本,,,,,,
1334,,5,建武の徳政令,1334,,日本,1,,日本,,,,,,
1336,,1,室町時代,1573,,日本,1,,日本,,,,,,
1336,,5,南インドにヒンドゥー教国のヴィジャヤナガル王国が自立。,1336,,アジア,1,,印,,,,,,
1336,,5,室町幕府成立：足利尊氏 建武式目制定,1336,,日本,1,,日本,後醍醐天皇、吉野に移る,,,,,
1337,,1,南北朝時代,1392,,日本,2,,日本,,,,,,
1337,,5,イギリス王エドワード３世、フランスに宣戦布告。,1337,,欧米,1,,仏:英,フランスヴァロワ朝のフィリップ６世に宣戦布告。,百年戦争,,,,
1338,,5,足利尊氏、征夷大将軍になる,1338,,日本,1,,日本,,,,,,
1338,,5,増鏡 (1338～1376頃に作成されたと考えられる）,1376,,日本,1,2,日本,,,,,,
1339,,10,イギリス軍がフランスに侵攻、百年戦争が始まる。～1453年まで,1453,,欧米,1,,仏:英,,百年戦争,,,,
1342,,5,マリニョーリ、元の大都で布教。,1342,,アジア,1,,中国,,,,,,
1346,,5,英仏軍のクレシーの戦い。,1346,,欧米,1,,仏:英,,百年戦争,,,,
1348,,5,黒死病が全ヨーロッパに広がる。,1348,,欧米,1,,,,,,,,
1348,,5,カール４世、プラハ大学を創設。,1348,,欧米,1,2,神聖ローマ帝国:独,,,,,,
1350,,5,"	【観応の擾乱】（足利尊氏・直義兄弟の不和）",1350,,日本,1,,日本,,,,,,
1351,,5,タイにアユタヤ朝が成立。,1351,,アジア,1,,タイ,,,,,,
1351,,5,白蓮教徒の反乱から、紅巾の乱に拡大。,1351,,アジア,2,,中国,,,,,,
1353,,5,ボッカチォの『デカメロン』が完成。,1353,,欧米,1,2,伊,,ルネサンス,,,,
1356,1月,5,カール４世、金印勅書を定める。,1356,,欧米,2,,神聖ローマ帝国:独,,,,,,
1356,,10,百年戦争のポワティエの戦い：エドワード黒太子が活躍。,1356,,欧米,1,,仏:英,,百年戦争,,,,
1358,5月28日,5,フランスでジャックリーの乱おこる。,1358,,欧米,1,,仏,,百年戦争,,,,
1361,,5,オスマン帝国のムラト１世、アドリアノープルを占領。,1361,,アジア,1,,土:オスマン帝国,,,,,,
1364,,5,カジミェシュ３世、クラクフ大学創設。ポーランド王国ピアスト朝の全盛期。,1364,,欧米,1,,波,,,,,,
1368,1月,5,朱元璋即位し、明を建国。,1368,,アジア,1,,中国,,,,,,
1368,,5,ハンザ同盟の海軍がデンマークを破る。,1368,,欧米,1,,北欧,,,,,,
1370,,20,<中東>ティムール朝建国：イスラム王朝,1370,,アジア,1,,中東,ティムール、サマルカンドを都にティムール朝を建国。,,,,,
1371,,5,明の洪武帝、海禁を打ち出す。,1371,,アジア,1,,中国,,,,,,
1376,,5,イギリスのウィクリフの宗教改革。,1376,,欧米,1,,英,,宗教,,,,
1377,,5,高麗で金属活字による『直指心体要節』刊行される。,1377,,アジア,1,2,韓国,,,,,,
1377,,5,教皇グレゴリウス１１世、ローマに戻り、教皇のバビロン捕囚が終わる。,1377,,欧米,1,,ローマ,,,,,,
1378,,5,教会大分裂（～１４１７年）。,1417,,欧米,1,,,,,,,,
1378,,5,フィレンツェ共和国でチオンピの乱の乱起こる。,1378,,欧米,2,,伊,,,,,,
1380,,5,ヴェネツィアがジェノヴァを破る。（キオッジアの海戦）,1380,,欧米,1,,伊,,,,,,
1380,,5,モスクワ大公ドミトリー・ドンスコイがクリコヴォの戦いで勝利,1380,,欧米,2,,露,キプチャク＝ハン国軍を破る。,,,,,
1381,,5,明の洪武帝、里甲制を施行。,1381,,アジア,1,,中国,,,,,,
1381,,5,イギリスでワット・タイラーの乱起こる。,1381,,欧米,1,,英,,百年戦争,,,,
1384,,5,フランドル地方、ブルゴーニュ公領となる。,1384,,欧米,1,,仏:白:蘭,,,,,,
1386,,5,リトアニアとポーランド王国が連合王国としてヤゲウォ朝が成立。,1386,,欧米,1,,波,,,,,,
1386,6月26日,5,スイス盟約者同盟団がゼンパハの戦いでハプスブルク家騎士団を破る。,1386,,欧米,2,,瑞,,,,,,
1388,,5,カラコルムのモンゴル人王朝北元滅亡。,1388,,アジア,1,,モンゴル:中国,,,,,,
1389,6月15日,5,オスマン帝国軍、コソボの戦いでセルビア王国軍などを破る。,1389,,アジア,1,,土:オスマン帝国,,,,,,
1391,,5,イギリスのチョーサー、『カンタベリ物語』。,1391,,欧米,1,2,英,,,,,,
1391,6月6日,5,スペインでユダヤ人に対する暴動起こる。,1391,,欧米,2,,西,,,,,,
1392,7月17日,5,李成桂が高麗を倒し朝鮮王朝を建国。,1392,,アジア,1,,韓国,,,,,,
1392,,5,将軍足利義満、南北朝を統一,1392,,日本,1,,日本,,,,,,
1396,9月,5,ニコポリスの戦いでオスマン軍が勝利。第２次ブルガリア帝国滅亡。,1396,,アジア,1,,勃:土:オスマン帝国,,,,,,
1397,,5,デンマーク、スウェーデン、ノルウェー三国、カルマル同盟を結成。,1397,,欧米,1,,北欧,,,,,,
1397,,5,金閣寺（鹿苑寺 舎利殿）建立,1392,,日本,1,2,日本,,宗教:美術,,,,
1398,,5,ティムールがインド遠征に乗りだしデリーに入城。,1398,,アジア,1,,印:中東,,,,,,
1399,7月,5,明で靖難の役。建文帝と燕王朱棣が争う。,1399,,アジア,1,,中国,,,,,,
1399,,5,イギリスにランカスター朝が成立。,1399,,欧米,1,,英,,百年戦争,,,,
1402,6月,5,明の永楽帝が即位。,1402,,アジア,1,,中国,,,,,,
1402,7月,5,ティムールが、アンカラの戦いでオスマン帝国軍を破る。,1402,,アジア,1,,土:オスマン帝国,,,,,,
1402,,5,世阿弥 「風姿花伝」全7編の最初の3編が完成,1403,,日本,1,2,日本,,,,,,
1403,,5,永楽帝、朝鮮王朝を冊封。,1403,,アジア,1,,韓国,,,,,,
1403,2月19日,20,足利義満、日本国王として永楽帝に国書を送る。,1403,,日本,1,,日本,,,,,,
1404,,5,ティムールが中国遠征に出発。翌年2/18死去する,1404,,アジア,1,,中国,,,,,,
1404,5月16日,5,日本と明の間の勘合貿易始まる。,1404,,日本,1,,日本,,,,,,
1405,,5,永楽帝による鄭和艦隊の派遣始まる。～１４３０年まで７回。,1405,,アジア,1,,中国,,,,,,
1406,9月,5,永楽帝のベトナム遠征。～０７年。,1406,,アジア,1,,中国:ベトナム,,,,,,
1407,11,5,永楽帝の命による『永楽大典』が完成。,1407,,アジア,1,2,中国,,,,,,
1407,,5,永楽帝、北京に紫禁城の建造を開始。,1407,,アジア,1,,中国,,,,,,
1410,2月,5,永楽帝のモンゴル親征。～１４２４年。,1410,,アジア,1,,モンゴル:中国,,,,,,
1410,7月15日,5,リトアニア＝ポーランド王国、タンネンベルクでドイツ騎士団を破る。,1410,,欧米,1,,独:波,,,,,,
1414,,5,デリーにサイイド朝が成立。,1414,,アジア,1,,印,,,,,,
1414,11,5,コンスタンツ公会議、ウィクリフとフスを異端と断定する。,1414,,欧米,2,,神聖ローマ:波:独,,宗教改革:フス戦争,,,,
1415,9月,5,永楽帝の命による『四書大全』・『五経大全』・『性理大全』が完成。,1415,,アジア,1,2,中国,,,,,,
1415,7月6日,5,フス、火刑に処せられる。,1415,,欧米,2,,神聖ローマ:波:独,,宗教改革:フス戦争,,,,
1415,,5,ポルトガル王国、モロッコのセウタを攻略。,1415,,欧米,2,,葡,,,,,,
1415,,10,イギリスのヘンリ５世、アザンクールの戦いでフランス軍に大勝。,1415,,欧米,1,,仏:英,,百年戦争,,,,
1417,,5,教会の大分裂（大シスマ）が終わる。,1417,,欧米,1,,,,,,,,
1419,7月,5,フス戦争始まる。～１４３６年。,1419,,欧米,1,,神聖ローマ:波:独,,フス戦争,,,,
1419,6月26日,5,朝鮮王国の軍勢、対馬を襲撃（応永の外寇）。,1419,,日本,1,,日本,　→　日朝貿易 。,,,,,
1421,1月,5,永楽帝が北京（紫禁城）に遷都。,1421,,アジア,1,,中国,,,,,,
1424,7月,5,永楽帝、モンゴル親征の帰途、死去する。,1424,,アジア,2,,モンゴル:中国,,,,,,
1428,4月15日,5,ベトナムの黎利が明から自立。,1428,,アジア,1,,中国:ベトナム,,,,,,
1429,7月17日,5,シャルル７世、ランス大聖堂で戴冠式挙行。,1429,,欧米,2,,仏,,,,,,
1429,,5,中山王尚巴志、琉球を統一し琉球王国を建国。,1429,,日本,1,,日本,,,,,,
1429,5月,10,ジャンヌ・ダルクが活躍、オルレアンを解放。,1429,,欧米,1,,仏,,百年戦争,,,,
1431,,5,アユタヤ朝、カンボジアのアンコールを占領。,1431,,アジア,1,,カンボジア,,,,,,
1431,,5,ジャンヌ・ダルク、イギリス軍により処刑される。,1431,,欧米,1,,仏:英,,百年戦争,,,,
1431,,5,エンリケ王子、艦隊をアゾレス諸島に派遣。,1431,,欧米,2,,葡,,,,,,
1434,,5,メディチ家がフィレンツェの実権を握る。,1434,,欧米,1,,伊,,,,,,
1436,7月,5,フス派穏健派とカトリック教会の講和成立し、フス戦争が終わる。,1436,,欧米,1,,神聖ローマ:波:独,,フス戦争,,,,
1438,,5,ハプスブルク家のアルブレヒト２世、神聖ローマ皇帝となる。,1438,,欧米,1,,神聖ローマ帝国:独,,,,,,
1441,,5,ポルトガル、アフリカで黒人奴隷貿易を開始。,1441,,欧米,1,,葡,,,,,,
1445,,5,ポルトガル艦隊、ヴェルデ岬に至る。,1445,,欧米,1,,葡,,,,,,
1446,,5,朝鮮の世宗、訓民正音を公布。,1446,,アジア,1,,韓国,,,,,,
1448,4月,5,明で鄧茂七の乱が起きる。,1448,,アジア,1,,中国,,,,,,
1449,8月,5,明の正統帝、土木の変でオイラトのエセン＝ハンに敗れる。,1449,,アジア,1,,中国,,,,,,
1450,,5,龍安寺 建立,1450,,日本,1,2,日本,細川勝元が宝徳2年(1450年)に徳大寺家の別荘を譲り受けて建立,宗教:美術,,,,
1451,,5,デリーにロディー朝が成立。,1451,,アジア,1,,印,,,,,,
1453,5月29日,5,コンスタンティノープルが陥落。ビザンツ帝国の滅亡。,1453,,欧米,2,,ビザンツ帝国:東ローマ帝国,,,,,,
1453,,10,百年戦争が終わる。,1453,,欧米,1,,仏:独,,百年戦争,,,,
1455,,5,イギリスでバラ戦争が始まる。,1455,,欧米,1,,英,,,,,,
1455,,5,グーテンベルク、活版印刷術による聖書を出版。,1455,,欧米,1,2,,,,,,,
1461,,5,イギリスでヨーク朝始まる。,1461,,欧米,1,,英,,,,,,
1462,,5,池坊専慶　いけばなの始まり,1462,,日本,1,2,日本,,,,,,
1467,,1,　戦国時代,1590,,日本,2,,日本,,,,,,
1467,,20,応仁の乱始まる。～1477年,1477,,日本,1,,日本,,,,,,
1472,,5,モスクワ大公国のイヴァン３世、ビザンツ皇帝の姪ソフィアと結婚。,1472,,欧米,1,,露,,,,,,
1474,,5,明、長城の改修に着手。,1474,,アジア,1,,中国,,,,,,
1479,,5,アラゴン王国とカスティリャ王国が統合しスペイン王国が成立。,1479,,欧米,1,,西,,レコンキスタ:国土回復運動,,,,
1480,,5,モスクワ大公国のイヴァン３世、独立し「タタールのくびき」終わらせる。,1480,,欧米,1,,露,,,,,,
1482,,5,ジョアン２世のポルトガル、ギニア湾にエルミナ要塞を建設。,1482,,欧米,1,,葡,,,,,,
1483,,5,イギリスでリチャード３世が王位を奪う。,1483,,欧米,1,,英,,,,,,
1485,,1,テューダー朝（1485-1603）,1603,,欧米,1,,英,,,,,,
1485,,5,山城の国一揆（1485-1493）,1493,,日本,1,,日本,,,,,,
1485,,10,バラ戦争が終わり、テューダー朝が始まる。,1485,,欧米,1,,英,,,,,,
1488,,5,ポルトガルのバルトロメウ・ディアス、喜望峰に到達。,1488,,欧米,2,,葡,,,,,,
1488,,5,同じくコヴィリャン、陸路インドに入る。,1488,,欧米,2,,,,,,,,
1488,,5,加賀の一向一揆（1488-1580）,1580,,日本,1,,日本,,,,,,
1492,1月,5,スペイン王国がグラナダを陥落し、ナスル朝滅亡。レコンキスタの完了。,1492,,欧米,2,,西:葡,,レコンキスタ:国土回復運動,,,,
1492,3月31日,5,スペインのカトリック両王、ユダヤ教徒追放令を出す。,1492,,欧米,2,,西,,,,,,
1492,10月12日,5,コロンブス、アメリカ大陸に到達。,1492,,欧米,1,,西:米,,,,,,
1493,5月,5,スペイン、ポルトガルの海外勢力圏、教皇子午線で分割。,1493,,欧米,2,,西:葡,,,,,,
1493,,5,ハプスブルク家のマクシミリアン１世、神聖ローマ皇帝となる。,1493,,欧米,2,,神聖ローマ帝国:独,,,,,,
1494,6月7日,5,スペイン、ポルトガルがトルデシリャス条約締結。,1494,,欧米,2,,西:葡,,,,,,
1494,,5,フィレンツェでサヴォナローラの神政政治始まる。,1494,,欧米,2,,伊,,,,,,
